084-Cessna172-FuelQuantity	25.41915;0.1;0.5038453	0.4710006;0.4710006;0.4710006
085-Cessna172-EGT-FF	20.3236;0.2;0.496264	0.4895004;0.4895004;0.4895004
087-Cessna172-TEMP-PRESS	25.35926;0.3;5.480576	0.4780006;0.4780006;0.4780006
086-Cessna172-VAC-AMP	20.30705;0.4;5.568805	0.4785005;0.4785005;0.4785005
083-Cessna172-Airspeed	14.25055;0.5;-4.823772	0.8024999;0.8024999;0.8024999
003-general-ADI-robinson	6.176245;0.7;-4.736255	0.802;0.802;0.802
004-general-thermometer-design_01	22.58491;0.8;-9.625126	0.3500004;0.3500004;0.3500004
008-general-turn_coordinator-TC02E	14.10594;0.9;3.266429	0.795;0.795;0.795
014-general-magnetic_compass-C2350L4M23	25.43;0.9;-5.028893	0.4065005;0.4065005;0.4065005
015-general-brakes_indicator-design_01	6.076563;1.3;10.8326	0.3250004;0.3250004;0.3250004
016-general_altimeter-5934PD3	-1.938301;1.4;-4.844155	0.74;0.74;0.74
017-general-elevator_trim-design_01	10.28496;1.5;9.245293	0.5415007;0.5415007;0.5415007
018-general-VSI-design_01	-2.02263;1.6;3.205737	0.7245002;0.7245002;0.7245002
082-general-flap_indicator_30deg-design_02	1.818982;1.8;9.341624	0.6090009;0.6090009;0.6090009
026-general-vsalt_indicators-design_01	-2.55514;2.2;-9.492153	0.2750004;0.2750004;0.2750004
081-general-ADF-KI227-M2	-10.28761;2.4;4.942809	0.6470004;0.6470004;0.6470004
088-Cessna172-tachometer	-5.494997;2.7;9.159509	0.5530004;0.5530004;0.5530004
001-general-VOR1-MD200_206	-10.22294;2.8;-8.42	0.6750001;0.6750001;0.6750001
002-general-VOR2-MD200_206	-10.24631;2.9;-1.597019	0.6635;0.6635;0.6635
113-HSI-PUC-FACA	6.181672;0.1;3.0646	0.6535015;0.6535015;0.6535015
070-general-annunciator-KA285	6.128668;0.8;-7.872986	0.7;0.7;0.7
