002-general-VOR2-MD200_206	-0.8494201;0.1;9.099966	0.6140004;0.6140004;0.6140004
004-general-thermometer-design_01	24.92657;0.2;-10.1822	0.3030004;0.3030004;0.3030004
008-general-turn_coordinator-TC02E	16.19086;0.6;1.780148	0.7545002;0.7545002;0.7545002
010-general_radioaltimeter-KRA-405B	24.89809;0.8;-6.308701	0.5680003;0.5680003;0.5680003
011-general-RMI_520_3117_303	16.19489;2;8.973833	0.6365005;0.6365005;0.6365005
012-senecaV-v1-generator_amps[0]	25.02015;2.1;3.647739	0.4915006;0.4915006;0.4915006
013-senecaV-v1-fuel_quantity[0]	25.00392;2.2;8.534404	0.4975006;0.4975006;0.4975006
014-general-magnetic_compass-C2350L4M23	20.45493;2.3;-9.897376	0.3835001;0.3835001;0.3835001
015-general-brakes_indicator-design_01	7.988088;2.5;10.98384	0.2805004;0.2805004;0.2805004
016-general_altimeter-5934PD3	-0.706986;2.6;-5.44609	0.7;0.7;0.7
017-general-elevator_trim-design_01	5.30264;2.7;9.527195	0.5000008;0.5000008;0.5000008
019-general-engine_balance-design_01	-9.756083;2.9;-6.919009	0.2439999;0.2439999;0.2439999
021-general-flap_indicator_40deg-desgin_01	10.73048;3;9.576033	0.4380004;0.4380004;0.4380004
113-HSI-PUC-FACA	7.959608;3;2.455574	0.6949999;0.6949999;0.6949999
039-senecaV-v1-airspeed_TAS	16.21929;3;-5.79602	0.7490002;0.7490002;0.7490002
072-senecaV-v1-vacum_gauge	24.95099;3;-0.5675678	0.5455008;0.5455008;0.5455008
070-general-annunciator-KA285	7.951454;3;-8.843575	0.6314787;0.6314787;0.6314787
007-general-VSI-united_instruments_7000	-0.7192148;3;2.138208	0.7515002;0.7515002;0.7515002
026-general-vsalt_indicators-design_01	-1.081348;3;-9.909592	0.2715006;0.2715006;0.2715006
027-senecaV-v1-generator_amps[1]	25.00794;0.1;6.080903	0.4960021;0.4960021;0.4960021
028-senecaV-v1-fuel_quantity[1]	25.01201;0.2;10.98383	0.4995022;0.4995022;0.4995022
024-general-ADI-KI256	7.984014;0.3;-5.694301	0.6745015;0.6745015;0.6745015
029-senecaV-v1-CHT_EGT[0]	-7.139831;0.4;5.104389	0.4925021;0.4925021;0.4925021
030-senecaV-v1-CHT_EGT[1]	-12.37641;0.5;5.210186	0.4890021;0.4890021;0.4890021
031-senecaV-v1-fuel_flow[0]	-7.119497;0.7;0.2380714	0.4855021;0.4855021;0.4855021
032-senecaV-v1-fuel_flow[1]	-12.29096;0.8;0.3438616	0.4855021;0.4855021;0.4855021
033-senecaV-v1-MAP[0]	-7.066609;1.2;-9.352116	0.4680021;0.4680021;0.4680021
034-senecaV-v1-MAP[1]	-12.34793;1.3;-9.42132	0.4680021;0.4680021;0.4680021
035-senecaV-v1-OT_OP[0]	-7.217134;1.4;9.958495	0.471502;0.471502;0.471502
036-senecaV-v1-OT_OP[1]	-12.34385;1.5;9.999194	0.4575019;0.4575019;0.4575019
037-senecaV-v1-tachometer[0]	-7.091004;1.6;-4.522465	0.468002;0.468002;0.468002
038-senecaV-v1-tachometer[1]	-12.31538;1.7;-4.42888	0.4680021;0.4680021;0.4680021
